motive_family,display_label,unique_tweets,label_assignments,source_fractional_count,retweet_fractional_count,source_share,retweet_share,percentage_point_change,log2_multiplier,amplification_multiplier,log2_ci_low,log2_ci_high,percentage_point_ci_low,percentage_point_ci_high,permutation_p,eligible_main,global_js_observed,global_permutation_p,fdr_q
5,Lack of knowledge about violence,266,266,197.31666666666675,977.5833333333335,0.23946197411003242,0.18462385898646527,-0.05483811512356715,-0.37520757335623073,0.7709944748967111,-1.0838037319046194,0.1502964310678713,-0.12504605598383187,0.02747587144779898,0.20887911208879112,True,0.2574180968012717,0.014498550144985502,0.39406059394060594
7,Self-blame,98,98,63.56666666666668,251.8166666666667,0.07714401294498383,0.0475574441296821,-0.029586568815301723,-0.6978830125915216,0.6164761504432208,-1.633483318447133,0.03457062019073349,-0.05307678589042147,0.0018994147110948521,0.16798320167983202,True,0.2574180968012717,0.014498550144985502,0.39406059394060594
3,Others minimized the experience,73,73,46.98333333333334,178.41666666666669,0.05701860841423948,0.033695310040919114,-0.023323298373320367,-0.7588850289765162,0.5909528657124031,-2.5004214945643772,0.15659618843634823,-0.049580117644294854,0.00601677427493985,0.22517748225177484,True,0.2574180968012717,0.014498550144985502,0.39406059394060594
12,Lack of support,60,60,33.949999999999996,117.31666666666668,0.0412014563106796,0.022156122127793523,-0.019045334182886075,-0.8949899359364054,0.5377509465002286,-2.4370891981139633,-0.01977759976991621,-0.03560797990342398,-0.0006149401630401038,0.26447355264473554,True,0.2574180968012717,0.014498550144985502,0.4114033041140331
8,Discouraged by others,9,9,7.083333333333333,20.333333333333332,0.008596278317152102,0.003840100723953416,-0.004756177593198687,-1.1625680400634313,0.44671665839908525,-5.398297087716388,0.6041678429745485,-0.011926320793642907,0.0029370974051984564,,False,0.2574180968012717,0.014498550144985502,
14,Perpetrator status or power,62,62,34.74999999999999,86.58333333333334,0.04217233009708737,0.01635190431224426,-0.025820425784843108,-1.3668380761829133,0.3877401195336338,-2.397596617263754,-0.5254943033292572,-0.03751047164640432,-0.012363405468024453,0.027197280271972803,True,0.2574180968012717,0.014498550144985502,0.38076192380761925
23,Belief that one could deal with it,13,13,9.833333333333332,23.666666666666664,0.0119336569579288,0.004469625432798238,-0.007464031525130562,-1.4168103713517544,0.3745394600482504,-32.87707632978911,0.37114818131822713,-0.01611011747936005,0.0021991028495848704,,False,0.2574180968012717,0.014498550144985502,
16,No one would believe,50,50,26.75,59.833333333333336,0.0324635922330097,0.01129996852376456,-0.02116362370924514,-1.5225038949124996,0.3480812734250161,-2.9448326102044784,-0.5049637987822441,-0.033262636758644853,-0.008825952835744883,0.0918908109189081,True,0.2574180968012717,0.014498550144985502,0.39406059394060594
17,Victim blaming,21,21,12.333333333333334,12.5,0.014967637540453074,0.0023607176581680834,-0.01260691988228499,-2.664549116314811,0.15772146089388148,-5.336790517850786,-1.2369784502897962,-0.020042006135114917,-0.005978823155105178,,False,0.2574180968012717,0.014498550144985502,
1,Discouraged by prior reporting outcomes,9,9,8.5,4.0,0.010315533980582523,0.0007554296506137868,-0.009560104329968736,-3.771377281176908,0.07323223916110788,-5.744542383371799,-2.8702553835672,-0.016749786513831792,-0.0036407766990291263,,False,0.2574180968012717,0.014498550144985502,
