hour_idx,hour_start_utc,hour_end_utc,n_retweets,phase_id,phase_label
172,2022-01-01 19:00:00+0000,2022-01-01 20:00:00+0000,0,4,phase_4
173,2022-01-01 20:00:00+0000,2022-01-01 21:00:00+0000,6,4,phase_4
174,2022-01-01 21:00:00+0000,2022-01-01 22:00:00+0000,3,4,phase_4
175,2022-01-01 22:00:00+0000,2022-01-01 23:00:00+0000,2,4,phase_4
176,2022-01-01 23:00:00+0000,2022-01-02 00:00:00+0000,1,4,phase_4
177,2022-01-02 00:00:00+0000,2022-01-02 01:00:00+0000,0,4,phase_4
178,2022-01-02 01:00:00+0000,2022-01-02 02:00:00+0000,0,4,phase_4
179,2022-01-02 02:00:00+0000,2022-01-02 03:00:00+0000,1,4,phase_4
180,2022-01-02 03:00:00+0000,2022-01-02 04:00:00+0000,0,4,phase_4
181,2022-01-02 04:00:00+0000,2022-01-02 05:00:00+0000,0,4,phase_4
182,2022-01-02 05:00:00+0000,2022-01-02 06:00:00+0000,0,4,phase_4
183,2022-01-02 06:00:00+0000,2022-01-02 07:00:00+0000,1,4,phase_4
184,2022-01-02 07:00:00+0000,2022-01-02 08:00:00+0000,0,4,phase_4
185,2022-01-02 08:00:00+0000,2022-01-02 09:00:00+0000,0,4,phase_4
186,2022-01-02 09:00:00+0000,2022-01-02 10:00:00+0000,3,4,phase_4
187,2022-01-02 10:00:00+0000,2022-01-02 11:00:00+0000,2,4,phase_4
188,2022-01-02 11:00:00+0000,2022-01-02 12:00:00+0000,1,4,phase_4
189,2022-01-02 12:00:00+0000,2022-01-02 13:00:00+0000,1,4,phase_4
190,2022-01-02 13:00:00+0000,2022-01-02 14:00:00+0000,6,4,phase_4
191,2022-01-02 14:00:00+0000,2022-01-02 15:00:00+0000,8,4,phase_4
192,2022-01-02 15:00:00+0000,2022-01-02 16:00:00+0000,2,4,phase_4
193,2022-01-02 16:00:00+0000,2022-01-02 17:00:00+0000,3,4,phase_4
194,2022-01-02 17:00:00+0000,2022-01-02 18:00:00+0000,16,4,phase_4
195,2022-01-02 18:00:00+0000,2022-01-02 19:00:00+0000,11,4,phase_4
196,2022-01-02 19:00:00+0000,2022-01-02 20:00:00+0000,8,4,phase_4
197,2022-01-02 20:00:00+0000,2022-01-02 21:00:00+0000,3,4,phase_4
198,2022-01-02 21:00:00+0000,2022-01-02 22:00:00+0000,4,4,phase_4
199,2022-01-02 22:00:00+0000,2022-01-02 23:00:00+0000,2,4,phase_4
200,2022-01-02 23:00:00+0000,2022-01-03 00:00:00+0000,2,4,phase_4
201,2022-01-03 00:00:00+0000,2022-01-03 01:00:00+0000,1,4,phase_4
202,2022-01-03 01:00:00+0000,2022-01-03 02:00:00+0000,2,4,phase_4
203,2022-01-03 02:00:00+0000,2022-01-03 03:00:00+0000,2,4,phase_4
204,2022-01-03 03:00:00+0000,2022-01-03 04:00:00+0000,0,4,phase_4
205,2022-01-03 04:00:00+0000,2022-01-03 05:00:00+0000,0,4,phase_4
206,2022-01-03 05:00:00+0000,2022-01-03 06:00:00+0000,1,4,phase_4
207,2022-01-03 06:00:00+0000,2022-01-03 07:00:00+0000,1,4,phase_4
208,2022-01-03 07:00:00+0000,2022-01-03 08:00:00+0000,0,4,phase_4
209,2022-01-03 08:00:00+0000,2022-01-03 09:00:00+0000,12,4,phase_4
210,2022-01-03 09:00:00+0000,2022-01-03 10:00:00+0000,1,4,phase_4
211,2022-01-03 10:00:00+0000,2022-01-03 11:00:00+0000,4,4,phase_4
212,2022-01-03 11:00:00+0000,2022-01-03 12:00:00+0000,1,4,phase_4
213,2022-01-03 12:00:00+0000,2022-01-03 13:00:00+0000,1,4,phase_4
214,2022-01-03 13:00:00+0000,2022-01-03 14:00:00+0000,4,4,phase_4
215,2022-01-03 14:00:00+0000,2022-01-03 15:00:00+0000,1,4,phase_4
216,2022-01-03 15:00:00+0000,2022-01-03 16:00:00+0000,0,4,phase_4
217,2022-01-03 16:00:00+0000,2022-01-03 17:00:00+0000,3,4,phase_4
218,2022-01-03 17:00:00+0000,2022-01-03 18:00:00+0000,2,4,phase_4
219,2022-01-03 18:00:00+0000,2022-01-03 19:00:00+0000,1,4,phase_4
220,2022-01-03 19:00:00+0000,2022-01-03 20:00:00+0000,2,4,phase_4
221,2022-01-03 20:00:00+0000,2022-01-03 21:00:00+0000,7,4,phase_4
222,2022-01-03 21:00:00+0000,2022-01-03 22:00:00+0000,11,4,phase_4
223,2022-01-03 22:00:00+0000,2022-01-03 23:00:00+0000,35,4,phase_4
224,2022-01-03 23:00:00+0000,2022-01-04 00:00:00+0000,4,4,phase_4
225,2022-01-04 00:00:00+0000,2022-01-04 01:00:00+0000,0,4,phase_4
226,2022-01-04 01:00:00+0000,2022-01-04 02:00:00+0000,0,4,phase_4
227,2022-01-04 02:00:00+0000,2022-01-04 03:00:00+0000,1,4,phase_4
228,2022-01-04 03:00:00+0000,2022-01-04 04:00:00+0000,1,4,phase_4
229,2022-01-04 04:00:00+0000,2022-01-04 05:00:00+0000,1,4,phase_4
230,2022-01-04 05:00:00+0000,2022-01-04 06:00:00+0000,1,4,phase_4
231,2022-01-04 06:00:00+0000,2022-01-04 07:00:00+0000,1,4,phase_4
232,2022-01-04 07:00:00+0000,2022-01-04 08:00:00+0000,3,4,phase_4
233,2022-01-04 08:00:00+0000,2022-01-04 09:00:00+0000,5,4,phase_4
234,2022-01-04 09:00:00+0000,2022-01-04 10:00:00+0000,6,4,phase_4
235,2022-01-04 10:00:00+0000,2022-01-04 11:00:00+0000,2,4,phase_4
236,2022-01-04 11:00:00+0000,2022-01-04 12:00:00+0000,6,4,phase_4
237,2022-01-04 12:00:00+0000,2022-01-04 13:00:00+0000,4,4,phase_4
238,2022-01-04 13:00:00+0000,2022-01-04 14:00:00+0000,8,4,phase_4
239,2022-01-04 14:00:00+0000,2022-01-04 15:00:00+0000,4,4,phase_4
240,2022-01-04 15:00:00+0000,2022-01-04 16:00:00+0000,1,4,phase_4
241,2022-01-04 16:00:00+0000,2022-01-04 17:00:00+0000,2,4,phase_4
242,2022-01-04 17:00:00+0000,2022-01-04 18:00:00+0000,2,4,phase_4
243,2022-01-04 18:00:00+0000,2022-01-04 19:00:00+0000,12,4,phase_4
244,2022-01-04 19:00:00+0000,2022-01-04 20:00:00+0000,2,4,phase_4
245,2022-01-04 20:00:00+0000,2022-01-04 21:00:00+0000,1,4,phase_4
246,2022-01-04 21:00:00+0000,2022-01-04 22:00:00+0000,2,4,phase_4
247,2022-01-04 22:00:00+0000,2022-01-04 23:00:00+0000,0,4,phase_4
248,2022-01-04 23:00:00+0000,2022-01-05 00:00:00+0000,0,4,phase_4
249,2022-01-05 00:00:00+0000,2022-01-05 01:00:00+0000,0,4,phase_4
250,2022-01-05 01:00:00+0000,2022-01-05 02:00:00+0000,0,4,phase_4
251,2022-01-05 02:00:00+0000,2022-01-05 03:00:00+0000,0,4,phase_4
252,2022-01-05 03:00:00+0000,2022-01-05 04:00:00+0000,0,4,phase_4
253,2022-01-05 04:00:00+0000,2022-01-05 05:00:00+0000,0,4,phase_4
254,2022-01-05 05:00:00+0000,2022-01-05 06:00:00+0000,0,4,phase_4
255,2022-01-05 06:00:00+0000,2022-01-05 07:00:00+0000,0,4,phase_4
256,2022-01-05 07:00:00+0000,2022-01-05 08:00:00+0000,0,4,phase_4
257,2022-01-05 08:00:00+0000,2022-01-05 09:00:00+0000,0,4,phase_4
258,2022-01-05 09:00:00+0000,2022-01-05 10:00:00+0000,3,4,phase_4
259,2022-01-05 10:00:00+0000,2022-01-05 11:00:00+0000,10,4,phase_4
260,2022-01-05 11:00:00+0000,2022-01-05 12:00:00+0000,18,4,phase_4
261,2022-01-05 12:00:00+0000,2022-01-05 13:00:00+0000,10,4,phase_4
262,2022-01-05 13:00:00+0000,2022-01-05 14:00:00+0000,15,4,phase_4
263,2022-01-05 14:00:00+0000,2022-01-05 15:00:00+0000,2,4,phase_4
264,2022-01-05 15:00:00+0000,2022-01-05 16:00:00+0000,7,4,phase_4
265,2022-01-05 16:00:00+0000,2022-01-05 17:00:00+0000,4,4,phase_4
266,2022-01-05 17:00:00+0000,2022-01-05 18:00:00+0000,5,4,phase_4
267,2022-01-05 18:00:00+0000,2022-01-05 19:00:00+0000,7,4,phase_4
268,2022-01-05 19:00:00+0000,2022-01-05 20:00:00+0000,3,4,phase_4
269,2022-01-05 20:00:00+0000,2022-01-05 21:00:00+0000,4,4,phase_4
270,2022-01-05 21:00:00+0000,2022-01-05 22:00:00+0000,6,4,phase_4
271,2022-01-05 22:00:00+0000,2022-01-05 23:00:00+0000,3,4,phase_4
272,2022-01-05 23:00:00+0000,2022-01-06 00:00:00+0000,0,4,phase_4
273,2022-01-06 00:00:00+0000,2022-01-06 01:00:00+0000,0,4,phase_4
274,2022-01-06 01:00:00+0000,2022-01-06 02:00:00+0000,2,4,phase_4
275,2022-01-06 02:00:00+0000,2022-01-06 03:00:00+0000,0,4,phase_4
276,2022-01-06 03:00:00+0000,2022-01-06 04:00:00+0000,0,4,phase_4
277,2022-01-06 04:00:00+0000,2022-01-06 05:00:00+0000,0,4,phase_4
278,2022-01-06 05:00:00+0000,2022-01-06 06:00:00+0000,0,4,phase_4
279,2022-01-06 06:00:00+0000,2022-01-06 07:00:00+0000,0,4,phase_4
280,2022-01-06 07:00:00+0000,2022-01-06 08:00:00+0000,0,4,phase_4
281,2022-01-06 08:00:00+0000,2022-01-06 09:00:00+0000,0,4,phase_4
282,2022-01-06 09:00:00+0000,2022-01-06 10:00:00+0000,0,4,phase_4
283,2022-01-06 10:00:00+0000,2022-01-06 11:00:00+0000,0,4,phase_4
284,2022-01-06 11:00:00+0000,2022-01-06 12:00:00+0000,2,4,phase_4
285,2022-01-06 12:00:00+0000,2022-01-06 13:00:00+0000,0,4,phase_4
286,2022-01-06 13:00:00+0000,2022-01-06 14:00:00+0000,0,4,phase_4
287,2022-01-06 14:00:00+0000,2022-01-06 15:00:00+0000,0,4,phase_4
288,2022-01-06 15:00:00+0000,2022-01-06 16:00:00+0000,0,4,phase_4
289,2022-01-06 16:00:00+0000,2022-01-06 17:00:00+0000,1,4,phase_4
290,2022-01-06 17:00:00+0000,2022-01-06 18:00:00+0000,0,4,phase_4
291,2022-01-06 18:00:00+0000,2022-01-06 19:00:00+0000,0,4,phase_4
292,2022-01-06 19:00:00+0000,2022-01-06 20:00:00+0000,1,4,phase_4
293,2022-01-06 20:00:00+0000,2022-01-06 21:00:00+0000,0,4,phase_4
294,2022-01-06 21:00:00+0000,2022-01-06 22:00:00+0000,0,4,phase_4
